archivo,caracteres,lineas_totales,lineas_no_vacias,lineas_acorde_detectadas,tiene_acordes,tiene_caracter_reemplazo,tiene_tabs,titulo_sospechoso,muy_corta
208_🇺🇸 JAILHOUSE ROCK.txt,2571,107,82,37,True,False,True,False,False
209_🇺🇸 LA BAMBA.txt,1813,103,88,43,True,False,True,False,False
210_🇪🇸 ENTRE DOS TIERRAS.txt,2708,98,84,43,True,False,True,False,False
211_🇺🇸PLUSH.txt,1408,70,57,0,False,False,False,False,False
212_🇦🇷 DEMOLIENDO HOTELES.txt,1337,53,44,12,True,False,True,False,False
213_🇪🇸 DEVUÉLVEME A MI CHICA.txt,2143,70,61,29,True,False,True,False,False
214_🇺🇸 HOLD THE LINE.txt,3554,91,77,37,True,False,True,False,False
215_A-04🇨🇴 MIX - OJOS MARRONES & TACONES ROJOS.txt,2650,156,122,18,True,False,False,False,False
216_12.BABY I LOVE YOUR WAY.txt,2952,89,72,37,True,True,False,False,False
217_11.LOSING MY RELIGIÓN.txt,2940,137,114,51,True,False,False,False,False
